EF_Scale,longitude,latitude,altitude
EF1,-86.56021,36.17701,3
EF1,-86.56050000000001,36.17725,3
EF1,-86.56131000000001,36.17726,3
EF1,-86.56762000000001,36.17626,3
EF2,-86.56909,36.17627,4
EF2,-86.57082,36.17668,4
EF1,-86.57335000000001,36.17679,3
EF1,-86.58204000000001,36.17833,3
EF1,-86.58497,36.17815,3
EF2,-86.58533,36.17771,4
EF1,-86.58534,36.17749,3
EF2,-86.5855,36.1779,4
EF1,-86.58598000000001,36.17799,3
EF1,-86.58616000000001,36.17809,3
EF1,-86.58636,36.17822,3
EF2,-86.58660999999999,36.17837,4
EF1,-86.58938000000001,36.17895,3
EF1,-86.59377000000001,36.17919,3
EF1,-86.59976,36.1803,3
EF2,-86.6001,36.17998,4
EF2,-86.60023,36.18031,4
EF1,-86.60112,36.18032,3
EF1,-86.60303,36.18105,3
EF1,-86.60476,36.18107,3
EF1,-86.60487999999999,36.18136,3
EF1,-86.60496999999999,36.18046,3
EF1,-86.60550000000001,36.17969,3
EF1,-86.60916,36.18185,3
EF2,-86.6097,36.18171,4
EF2,-86.61067,36.18152,4
EF2,-86.61076,36.18179,4
EF2,-86.61109,36.18146,4
EF2,-86.61113,36.1821,4
EF1,-86.61177000000001,36.18167,3
EF2,-86.61203999999999,36.18236,4
EF1,-86.61221999999999,36.18122,3
EF2,-86.61263,36.18174,4
EF1,-86.61347000000001,36.18297,3
EF2,-86.61405000000001,36.1815,4
EF1,-86.61454999999999,36.17996,3
EF2,-86.62452999999999,36.18281,4
EF2,-86.6249,36.18343,4
EF1,-86.62806999999999,36.18338,3
EF1,-86.62837,36.18453,3
EF1,-86.62878000000001,36.18403,3
EF2,-86.62958999999999,36.18471,4
EF2,-86.63015,36.1849,4
EF2,-86.63087,36.18526,4
EF2,-86.63103,36.18535,4
EF2,-86.63121,36.18543,4
EF1,-86.63136,36.18556,3
EF2,-86.63378,36.18532,4
EF1,-86.63428999999999,36.18635,3
EF1,-86.63561,36.18475,3
EF1,-86.63685,36.18431,3
EF3,-86.64121,36.18483,4.999999999999999
EF2,-86.64216,36.18459,4
EF3,-86.64237,36.18438,4.999999999999999
EF2,-86.64258,36.18419,4
EF2,-86.64284000000001,36.184,4
EF3,-86.64319467999999,36.18424709,4.999999999999999
EF3,-86.64346000000001,36.18442,4.999999999999999
EF3,-86.64417,36.18427,4.999999999999999
EF3,-86.64440999999999,36.18407,4.999999999999999
EF2,-86.64457,36.18446,4
